Datetime,Open,High,Low,Close,Volume
2020-05-29 09:53:00-04:00,183.39999389648438,183.5800018310547,183.39500427246094,183.55999755859375,96158
2020-05-29 09:54:00-04:00,183.5500030517578,183.5800018310547,183.3699951171875,183.44500732421875,81528
2020-05-29 09:55:00-04:00,183.39999389648438,183.55999755859375,183.2899932861328,183.33779907226562,93421
2020-05-29 09:56:00-04:00,183.33999633789062,183.4199981689453,183.22999572753906,183.27000427246094,81438
2020-05-29 09:57:00-04:00,183.26499938964844,183.27450561523438,183.10000610351562,183.11940002441406,60099
2020-05-29 09:58:00-04:00,183.09500122070312,183.09500122070312,182.8699951171875,182.99000549316406,121972
2020-05-29 09:59:00-04:00,182.99020385742188,183.0800018310547,182.94000244140625,183.02999877929688,113767
2020-05-29 10:00:00-04:00,182.97999572753906,183.10499572753906,182.88009643554688,182.97999572753906,86323
2020-05-29 10:01:00-04:00,182.94000244140625,183.00999450683594,182.72999572753906,182.9499969482422,124732
2020-05-29 10:02:00-04:00,182.9600067138672,183.02000427246094,182.85000610351562,182.86000061035156,70057
2020-05-29 10:03:00-04:00,182.8699951171875,182.89999389648438,182.72999572753906,182.77999877929688,71386
2020-05-29 10:04:00-04:00,182.77000427246094,182.80999755859375,182.6750030517578,182.6999969482422,55941
2020-05-29 10:05:00-04:00,182.7100067138672,182.99000549316406,182.7050018310547,182.97999572753906,61044
2020-05-29 10:06:00-04:00,182.97999572753906,183.00999450683594,182.61000061035156,182.63070678710938,72734
2020-05-29 10:07:00-04:00,182.6427001953125,182.6699981689453,182.16000366210938,182.16000366210938,94185
2020-05-29 10:08:00-04:00,182.14999389648438,182.24000549316406,181.7501983642578,181.75289916992188,118064
2020-05-29 10:09:00-04:00,181.75,181.92999267578125,181.67999267578125,181.7899932861328,159558
2020-05-29 10:10:00-04:00,181.7899932861328,181.85000610351562,181.55999755859375,181.80999755859375,72825
2020-05-29 10:11:00-04:00,181.80999755859375,181.80999755859375,181.58999633789062,181.60000610351562,85271
2020-05-29 10:12:00-04:00,181.60000610351562,181.60000610351562,181.32000732421875,181.3249969482422,132839
2020-05-29 10:13:00-04:00,181.31500244140625,181.36000061035156,181.10000610351562,181.13999938964844,117007
2020-05-29 10:14:00-04:00,181.14999389648438,181.3000030517578,180.9600067138672,181.27000427246094,186868
2020-05-29 10:15:00-04:00,181.28990173339844,181.30999755859375,181.07000732421875,181.19000244140625,103559
2020-05-29 10:16:00-04:00,181.17999267578125,181.27000427246094,181.11000061035156,181.16000366210938,58141
2020-05-29 10:17:00-04:00,181.1699981689453,181.5,181.13999938964844,181.3699951171875,116948
2020-05-29 10:18:00-04:00,181.36000061035156,181.36000061035156,181.14999389648438,181.27999877929688,67230
2020-05-29 10:19:00-04:00,181.2899932861328,181.38999938964844,181.2050018310547,181.2440948486328,117557
2020-05-29 10:20:00-04:00,181.25,181.3699951171875,181.1300048828125,181.30999755859375,80338
2020-05-29 10:21:00-04:00,181.3000030517578,181.33999633789062,181.07000732421875,181.127197265625,132928
2020-05-29 10:22:00-04:00,181.11000061035156,181.11990356445312,180.77000427246094,180.77000427246094,97255
2020-05-29 10:23:00-04:00,180.77999877929688,181.0,180.77999877929688,180.99000549316406,54638
2020-05-29 10:24:00-04:00,181.0,181.22999572753906,181.0,181.10000610351562,63714
2020-05-29 10:25:00-04:00,181.11000061035156,181.35000610351562,181.11000061035156,181.3300018310547,73575
2020-05-29 10:26:00-04:00,181.3300018310547,181.44000244140625,181.22000122070312,181.4219970703125,50785
2020-05-29 10:27:00-04:00,181.4199981689453,181.5,181.27000427246094,181.42999267578125,85329
2020-05-29 10:28:00-04:00,181.42999267578125,181.50999450683594,181.1199951171875,181.1199951171875,93811
2020-05-29 10:29:00-04:00,181.1199951171875,181.3800048828125,181.0399932861328,181.3800048828125,97702
2020-05-29 10:30:00-04:00,181.39999389648438,181.77999877929688,181.39999389648438,181.71270751953125,171106
2020-05-29 10:31:00-04:00,181.7100067138672,181.7100067138672,181.5106964111328,181.68800354003906,100888
2020-05-29 10:32:00-04:00,181.69000244140625,181.88999938964844,181.69000244140625,181.8800048828125,73724
2020-05-29 10:33:00-04:00,181.8699951171875,181.97999572753906,181.77000427246094,181.85000610351562,104488
2020-05-29 10:34:00-04:00,181.85830688476562,181.99000549316406,181.85830688476562,181.97500610351562,42420
2020-05-29 10:35:00-04:00,181.97000122070312,181.97000122070312,181.68150329589844,181.8000030517578,84315
2020-05-29 10:36:00-04:00,181.8000030517578,181.9600067138672,181.74000549316406,181.85000610351562,59751
2020-05-29 10:37:00-04:00,181.85000610351562,181.97999572753906,181.8300018310547,181.91000366210938,50127
2020-05-29 10:38:00-04:00,181.88999938964844,181.97000122070312,181.80499267578125,181.80499267578125,50428
2020-05-29 10:39:00-04:00,181.8000030517578,182.1199951171875,181.69000244140625,182.02000427246094,81097
2020-05-29 10:40:00-04:00,182.02720642089844,182.0500030517578,181.82009887695312,181.82260131835938,59699
2020-05-29 10:41:00-04:00,181.8350067138672,181.9600067138672,181.72999572753906,181.8699951171875,47539
2020-05-29 10:42:00-04:00,181.8699951171875,181.9199981689453,181.6199951171875,181.64999389648438,62338
2020-05-29 10:43:00-04:00,181.64999389648438,181.67999267578125,181.4199981689453,181.4600067138672,73718
2020-05-29 10:44:00-04:00,181.4600067138672,181.5,181.35499572753906,181.39999389648438,117762
2020-05-29 10:45:00-04:00,181.39999389648438,181.4499969482422,181.24000549316406,181.38999938964844,78337
2020-05-29 10:46:00-04:00,181.38999938964844,181.41000366210938,181.27000427246094,181.30499267578125,62090
2020-05-29 10:47:00-04:00,181.30499267578125,181.50999450683594,181.2899932861328,181.38999938964844,83806
2020-05-29 10:48:00-04:00,181.39999389648438,181.41000366210938,181.1300048828125,181.1544952392578,64501
2020-05-29 10:49:00-04:00,181.1300048828125,181.1999969482422,180.9550018310547,181.02999877929688,93320
2020-05-29 10:50:00-04:00,181.02499389648438,181.07000732421875,180.9499969482422,181.00999450683594,74549
2020-05-29 10:51:00-04:00,181.02999877929688,181.13999938964844,180.9499969482422,181.0399932861328,83014
2020-05-29 10:52:00-04:00,181.0449981689453,181.2100067138672,180.8800048828125,180.90499877929688,81522
