,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
1211,1211,1211,2020-05-28 07:28:00-04:00,180.96,180.96,180.8,180.8,0,181.104,181.01,0.23799999999999955,181.021
1212,1212,1212,2020-05-28 07:30:00-04:00,180.8,180.8,180.8,180.8,0,181.084,180.934,0.19499999999999318,180.98
1213,1213,1213,2020-05-28 07:32:00-04:00,180.85,180.85,180.85,180.85,0,181.069,180.858,0.11899999999999977,180.978
1214,1214,1214,2020-05-28 07:33:00-04:00,180.7,180.71,180.65,180.65,0,180.995,180.788,0.2609999999999957,180.974
1215,1215,1215,2020-05-28 07:34:00-04:00,180.65,180.7,180.65,180.7,0,180.945,180.76,0.17200000000002547,180.966
1216,1216,1216,2020-05-28 07:37:00-04:00,180.7,180.94,180.7,180.94,0,180.899,180.788,-0.05500000000000682,180.982
1217,1217,1217,2020-05-28 07:49:00-04:00,181.0,181.18,181.0,181.03,0,180.884,180.834,-0.11899999999999977,180.999
1218,1218,1218,2020-05-28 07:54:00-04:00,181.07,181.07,181.07,181.07,0,180.868,180.878,-0.12999999999999545,181.011
1219,1219,1219,2020-05-28 07:55:00-04:00,181.09,181.1,181.09,181.1,0,180.878,180.968,-0.13100000000000023,181.035
1220,1220,1220,2020-05-28 08:01:00-04:00,180.9,180.9,180.81,180.81,0,180.875,180.99,0.12999999999999545,181.017
1221,1221,1221,2020-05-28 08:06:00-04:00,180.86,180.86,180.86,180.86,0,180.881,180.974,0.06599999999997408,180.993
1222,1222,1222,2020-05-28 08:09:00-04:00,180.78,180.78,180.75,180.76,0,180.877,180.92,0.13500000000001933,180.981
1223,1223,1223,2020-05-28 08:10:00-04:00,180.54,180.54,180.54,180.54,0,180.846,180.814,0.2909999999999968,180.958
1224,1224,1224,2020-05-28 08:11:00-04:00,180.53,180.54,180.38,180.47,0,180.828,180.688,0.2949999999999875,180.912
1225,1225,1225,2020-05-28 08:12:00-04:00,180.47,180.5,180.47,180.5,0,180.808,180.626,0.21700000000001296,180.876
1226,1226,1226,2020-05-28 08:13:00-04:00,180.6,180.6,180.5,180.5,0,180.764,180.554,0.17799999999999727,180.832
1227,1227,1227,2020-05-28 08:14:00-04:00,180.3,180.3,180.2,180.2,0,180.681,180.442,0.39100000000001955,180.783
1228,1228,1228,2020-05-28 08:15:00-04:00,180.9988,181.45,180.0,180.02,0,180.576,180.338,0.46699999999998454,180.722
1229,1229,1229,2020-05-28 08:16:00-04:00,180.49,180.49,180.4,180.4,0,180.506,180.324,0.07099999999999795,180.692
1230,1230,1230,2020-05-28 08:17:00-04:00,180.5,180.5,180.49,180.49,0,180.474,180.322,-0.01500000000001478,180.674
1231,1231,1231,2020-05-28 08:18:00-04:00,180.24,180.33,180.0,180.0,0,180.388,180.222,0.38800000000000523,180.635
1232,1232,1232,2020-05-28 08:20:00-04:00,180.18,180.18,180.0,180.0,0,180.312,180.182,0.31800000000001205,180.595
1233,1233,1233,2020-05-28 08:21:00-04:00,180.0,180.0,179.5,179.52,0,180.21,180.082,0.6529999999999916,180.528
1234,1234,1234,2020-05-28 08:22:00-04:00,179.54,179.77,179.2748,179.77,0,180.14,179.956,0.3289999999999793,180.484
1235,1235,1235,2020-05-28 08:23:00-04:00,179.51,179.51,179.5,179.5,0,180.04,179.758,0.4900000000000091,180.424
1236,1236,1236,2020-05-28 08:24:00-04:00,179.53,179.55,179.31,179.31,0,179.921,179.62,0.556999999999988,180.342
1237,1237,1237,2020-05-28 08:25:00-04:00,179.36,179.36,179.33,179.33,0,179.834,179.486,0.43899999999999295,180.257
1238,1238,1238,2020-05-28 08:26:00-04:00,179.34,179.67,179.34,179.67,0,179.799,179.516,0.08100000000001728,180.187
1239,1239,1239,2020-05-28 08:27:00-04:00,179.67,179.7,179.4,179.52,0,179.711,179.466,0.18899999999999295,180.108
1240,1240,1240,2020-05-28 08:28:00-04:00,179.65,179.9862,179.65,179.9862,0,179.661,179.563,-0.2272000000000105,180.067
1241,1241,1241,2020-05-28 08:29:00-04:00,179.73,179.89,179.73,179.89,0,179.65,179.679,-0.10699999999999932,180.019
1242,1242,1242,2020-05-28 08:30:00-04:00,179.79,180.0,179.62,179.95,0,179.645,179.803,-0.13599999999999568,179.978
1243,1243,1243,2020-05-28 08:31:00-04:00,179.63,179.9,179.57,179.79,0,179.672,179.827,0.019000000000005457,179.941
1244,1244,1244,2020-05-28 08:33:00-04:00,179.76,179.86,179.6,179.61,0,179.656,179.845,0.1629999999999825,179.898
1245,1245,1245,2020-05-28 08:35:00-04:00,179.8,179.8,179.35,179.35,0,179.641,179.718,0.34600000000000364,179.84
1246,1246,1246,2020-05-28 08:36:00-04:00,179.47,179.6,179.3,179.34,0,179.644,179.608,0.2909999999999968,179.782
1247,1247,1247,2020-05-28 08:37:00-04:00,179.28,179.62,179.25,179.33,0,179.644,179.484,0.24699999999998568,179.739
1248,1248,1248,2020-05-28 08:38:00-04:00,179.33,179.5,179.15,179.15,0,179.592,179.356,0.34899999999998954,179.695
1249,1249,1249,2020-05-28 08:39:00-04:00,179.3,179.3,179.25,179.25,0,179.565,179.284,0.20400000000000773,179.638
1250,1250,1250,2020-05-28 08:40:00-04:00,179.48,179.48,179.48,179.48,0,179.514,179.31,-0.020999999999986585,179.587
1251,1251,1251,2020-05-28 08:41:00-04:00,179.28,179.3,179.26,179.26,0,179.451,179.294,0.16200000000000614,179.55
1252,1252,1252,2020-05-28 08:42:00-04:00,179.4,179.4,179.34,179.34,0,179.39,179.296,0.06700000000000728,179.517
1253,1253,1253,2020-05-28 08:43:00-04:00,179.4,179.4,179.4,179.4,0,179.351,179.346,0.006000000000000227,179.511
1254,1254,1254,2020-05-28 08:44:00-04:00,179.3,179.3,179.3,179.3,0,179.32,179.356,0.08699999999998909,179.488
1255,1255,1255,2020-05-28 08:45:00-04:00,179.34,179.47,179.26,179.3,0,179.315,179.32,0.07099999999999795,179.478
1256,1256,1256,2020-05-28 08:46:00-04:00,179.27,179.27,178.7,178.7,0,179.251,179.208,0.5490000000000066,179.447
1257,1257,1257,2020-05-28 08:47:00-04:00,178.99,179.35,178.99,179.35,0,179.253,179.21,-0.08299999999999841,179.448
1258,1258,1258,2020-05-28 08:51:00-04:00,179.48,179.8,179.48,179.8,0,179.318,179.29,-0.43600000000000705,179.455
1259,1259,1259,2020-05-28 08:52:00-04:00,179.7,179.7,179.48,179.51,0,179.344,179.332,-0.11899999999999977,179.454
1260,1260,1260,2020-05-28 08:53:00-04:00,179.46,179.51,179.33,179.39,0,179.335,179.35,0.0010000000000047748,179.425
1261,1261,1261,2020-05-28 08:54:00-04:00,179.01,179.31,179.0,179.3,0,179.339,179.47,0.07399999999998386,179.395
1262,1262,1262,2020-05-28 08:55:00-04:00,179.3,179.45,179.02,179.45,0,179.35,179.49,-0.0619999999999834,179.37
1263,1263,1263,2020-05-28 08:58:00-04:00,179.55,179.55,179.45,179.45,0,179.355,179.42,-0.05099999999998772,179.353
1264,1264,1264,2020-05-28 08:59:00-04:00,179.45,179.55,179.3,179.3,0,179.355,179.378,0.08099999999998886,179.338
1265,1265,1265,2020-05-28 09:00:00-04:00,179.28,179.28,178.94,178.94,0,179.319,179.288,0.36099999999999,179.317
1266,1266,1266,2020-05-28 09:01:00-04:00,179.16,179.16,178.66,178.6864,0,179.318,179.165,0.502600000000001,179.284
1267,1267,1267,2020-05-28 09:02:00-04:00,178.73,178.95,178.65,178.8,0,179.263,179.035,0.31799999999998363,179.258
1268,1268,1268,2020-05-28 09:03:00-04:00,178.66,178.66,178.65,178.65,0,179.148,178.875,0.38299999999998136,179.233
1269,1269,1269,2020-05-28 09:04:00-04:00,179.0,179.05,179.0,179.05,0,179.102,178.825,-0.014000000000010004,179.223
