 ,Datetime,Open,High,Low,Close,Volume
1859,2020-05-29 19:32:00-04:00,183.88,183.88,183.88,183.88,0
1860,2020-05-29 19:35:00-04:00,183.85,184.0,183.85,184.0,0
1861,2020-05-29 19:49:00-04:00,183.8799,183.8799,183.8799,183.8799,0
1862,2020-05-29 19:54:00-04:00,183.7,183.7,183.7,183.7,0
1863,2020-05-29 19:56:00-04:00,183.86,183.86,183.83,183.83,0
1864,2020-05-29 19:57:00-04:00,183.83,183.83,183.71,183.71,0
1865,2020-05-29 19:58:00-04:00,183.7,183.7,183.69,183.69,0
1866,2020-05-29 19:59:00-04:00,183.65,183.7,183.65,183.7,0
1867,2020-06-01 04:02:00-04:00,183.69,183.69,183.69,183.69,0
1868,2020-06-01 04:07:00-04:00,183.0,183.0,181.35,181.35,0
1869,2020-06-01 04:08:00-04:00,182.01,182.01,181.35,181.35,0
1870,2020-06-01 04:25:00-04:00,181.72,181.72,181.72,181.72,0
1871,2020-06-01 04:31:00-04:00,182.01,182.01,182.01,182.01,0
1872,2020-06-01 05:10:00-04:00,182.5,182.5,182.5,182.5,0
1873,2020-06-01 05:33:00-04:00,182.25,182.25,182.25,182.25,0
1874,2020-06-01 05:34:00-04:00,182.55,182.55,182.55,182.55,0
1875,2020-06-01 05:36:00-04:00,182.55,182.55,182.55,182.55,0
1876,2020-06-01 05:44:00-04:00,182.29,182.29,182.29,182.29,0
1877,2020-06-01 05:47:00-04:00,182.22,182.22,182.22,182.22,0
1878,2020-06-01 06:03:00-04:00,182.05,182.05,182.05,182.05,0
1879,2020-06-01 06:28:00-04:00,182.52,182.52,182.52,182.52,0
1880,2020-06-01 06:32:00-04:00,182.03,182.04,182.03,182.04,0
1881,2020-06-01 06:49:00-04:00,182.25,182.25,182.25,182.25,0
1882,2020-06-01 06:53:00-04:00,182.57,182.57,182.57,182.57,0
1883,2020-06-01 07:00:00-04:00,182.28,182.78,182.28,182.78,0
1884,2020-06-01 07:01:00-04:00,182.76,182.76,182.45,182.45,0
1885,2020-06-01 07:04:00-04:00,182.6,182.6,182.5,182.5,0
1886,2020-06-01 07:05:00-04:00,182.6,182.6,182.6,182.6,0
1887,2020-06-01 07:06:00-04:00,182.45,182.45,182.45,182.45,0
1888,2020-06-01 07:09:00-04:00,182.55,182.55,182.55,182.55,0
1889,2020-06-01 07:10:00-04:00,182.75,182.75,182.75,182.75,0
1890,2020-06-01 07:11:00-04:00,182.7,182.7,182.7,182.7,0
1891,2020-06-01 07:12:00-04:00,182.7,182.82,182.7,182.82,0
1892,2020-06-01 07:13:00-04:00,182.83,182.83,182.8,182.8,0
1893,2020-06-01 07:14:00-04:00,182.85,182.85,182.85,182.85,0
1894,2020-06-01 07:15:00-04:00,182.85,182.85,182.8,182.8,0
1895,2020-06-01 07:18:00-04:00,182.9,182.9,182.9,182.9,0
1896,2020-06-01 07:20:00-04:00,182.85,182.85,182.85,182.85,0
1897,2020-06-01 07:26:00-04:00,182.91,182.91,182.75,182.75,0
1898,2020-06-01 07:27:00-04:00,182.75,182.75,182.75,182.75,0
1899,2020-06-01 07:31:00-04:00,182.9,182.98,182.9,182.98,0
1900,2020-06-01 07:32:00-04:00,183.0,183.08,183.0,183.08,0
1901,2020-06-01 07:33:00-04:00,183.0,183.0,182.75,182.75,0
1902,2020-06-01 07:35:00-04:00,183.0,183.0,182.99,182.99,0
1903,2020-06-01 07:42:00-04:00,182.85,182.85,182.78,182.78,0
1904,2020-06-01 07:43:00-04:00,182.95,182.97,182.71,182.97,0
1905,2020-06-01 07:49:00-04:00,182.95,182.95,182.94,182.94,0
1906,2020-06-01 07:50:00-04:00,182.75,182.75,182.75,182.75,0
1907,2020-06-01 07:56:00-04:00,182.79,182.79,182.75,182.75,0
1908,2020-06-01 07:57:00-04:00,182.75,182.75,182.75,182.75,0
1909,2020-06-01 07:58:00-04:00,182.75,182.77,182.75,182.77,0
1910,2020-06-01 08:00:00-04:00,182.85,183.078,182.5,182.75,0
1911,2020-06-01 08:02:00-04:00,182.76,183.7,182.75,182.892,0
1912,2020-06-01 08:03:00-04:00,182.75,182.75,182.75,182.75,0
1913,2020-06-01 08:04:00-04:00,182.75,182.75,182.75,182.75,0
1914,2020-06-01 08:06:00-04:00,182.8499,182.8499,182.8,182.8,0
1915,2020-06-01 08:07:00-04:00,182.8,182.8,182.8,182.8,0
1916,2020-06-01 08:08:00-04:00,182.85,182.85,182.85,182.85,0
1917,2020-06-01 08:11:00-04:00,182.84,183.0,182.84,183.0,0
1918,2020-06-01 08:12:00-04:00,183.0,183.0,182.95,182.95,0
1919,2020-06-01 08:13:00-04:00,183.0,183.0,183.0,183.0,0
1920,2020-06-01 08:14:00-04:00,183.0,183.0,182.95,182.95,0
